0.025       --undefined--          --undefined--        --undefined--         --undefined--         --undefined--  
    0.031       469.15          815.12        2600.40         3264.71         4228.97  
    0.038       495.54          752.12        2612.70         3250.39         4237.70  
    0.044       514.82          721.19        2611.23         3185.71         4235.97  
    0.050       531.04          672.40        2599.30         3110.68         4133.29  
    0.056       524.13          641.96        2587.03         3045.40         4074.70  
    0.062       492.75          673.10        2588.52         3003.22         4124.15  
    0.069       482.75          703.76        2591.08         2998.16         4136.11  
    0.075       480.71          729.82        2592.95         3006.14         4129.51  
    0.081       478.51          758.59        2607.09         3012.07         4161.49  
    0.088       480.70          778.59        2617.46         3009.24         4209.55  
    0.094       486.46          786.62        2622.40         3001.40         4219.82  
    0.100       492.59          785.26        2626.26         2988.22         4200.79  
    0.106       490.86          785.15        2636.41         2977.51         4168.86  
    0.113       480.38          791.46        2647.91         2978.55         4128.98  
    0.119       472.61          793.79        2649.77         2972.89         4041.00  
    0.125       472.64          793.82        2646.10         2964.68         3990.53  
    0.131       473.46          796.58        2650.12         2971.45         4052.37  
    0.138       469.90          801.97        2660.62         2982.90         4130.75  
    0.144       469.44          810.04        2661.13         2995.39         4170.62  
    0.150       471.76          813.81        2665.72         3012.23         4204.98  
    0.156       470.70          807.61        2666.58         3012.75         4230.94  
    0.163       464.73          794.44        2667.19         3011.45         4221.97  
    0.169       461.39          787.96        2682.82         3021.77         4178.40  
    0.175       464.91          784.04        2678.93         3023.95         4161.03  
    0.181       461.53          776.14        2668.06         3015.76         4202.25  
    0.188       452.29          771.01        2663.81         3002.04         4240.21  
    0.194       448.94          765.33        2658.07         2994.79         4233.65  
    0.200       444.17          760.56        2660.59         2995.63         4192.47  
    0.206       435.37          757.20        2670.06         3002.00         4156.70  
    0.213       432.33          751.34        2680.05         3023.99         4156.31  
    0.219       433.26          742.34        2675.53         3046.03         4149.23  
    0.225       432.75          704.09        2664.58         3047.14         4118.32  
    0.231       430.27          677.28        2668.18         3040.71         4158.00  
    0.238       428.88          677.87        2667.00         3051.21         4213.41  
    0.244       421.07          680.14        2665.25         3067.20         4223.09  
    0.250       408.78          713.33        2686.26         3100.38         4226.53  
    0.256       406.21          738.16        2729.18         3129.20         4227.40  
    0.263       423.52          710.47        2757.09         3118.16         4239.65  
    0.269       434.50          676.26        2748.93         3119.98         4225.36  
    0.275       438.15          659.85        2763.86         3148.67         4223.24  
    0.281       456.54          637.37        2804.41         3185.13         4273.78  
    0.288       440.11          660.04        2795.59         3257.44         4302.09  
    0.294       406.84          722.84        2790.28         3252.41         4270.55  
    
