0.025       --undefined--          --undefined--        --undefined--         --undefined--         --undefined--  
    0.031       364.78          2486.25        3163.55         3738.81         4184.12  
    0.038       352.15          2473.34        3097.86         3762.02         4056.66  
    0.044       325.50          2460.21        3038.65         3680.65         4010.68  
    0.050       306.05          2462.12        3029.31         3575.11         4002.06  
    0.056       306.26          2469.01        3011.00         3493.54         4007.68  
    0.062       309.51          2468.63        2987.86         3427.15         3986.15  
    0.069       311.42          2467.40        2978.58         3414.10         3975.50  
    0.075       312.37          2462.12        2982.36         3437.74         3977.43  
    0.081       309.51          2459.04        2988.07         3463.15         3970.48  
    0.088       308.33          2463.06        2992.49         3469.40         3972.84  
    0.094       309.01          2462.38        2992.92         3461.47         3957.36  
    0.100       310.75          2464.47        2999.66         3490.17         3953.43  
    0.106       313.02          2463.05        3005.64         3508.53         4008.09  
    0.113       313.13          2453.59        3004.96         3500.92         4023.62  
    0.119       313.46          2452.71        3026.51         3536.34         3987.51  
    0.125       314.95          2462.61        3054.02         3524.25         3961.34  
    0.131       312.87          2492.27        3081.67         3451.79         3947.80  
    0.138       308.97          2504.83        3096.08         3402.86         3942.84  
    0.144       308.58          2498.76        3099.56         3406.70         3929.37  
    0.150       308.17          2504.56        3112.87         3466.55         3985.72  
    0.156       305.55          2503.12        3114.08         3490.68         4029.89  
    0.163       302.84          2497.43        3102.43         3451.60         3975.71  
    0.169       299.38          2481.70        3082.28         3397.92         3935.55  
    0.175       295.67          2463.69        3073.80         3373.47         3933.66  
    0.181       293.73          2462.64        3083.04         3377.59         3932.29  
    0.188       292.50          2472.28        3096.97         3385.87         3926.61  
    0.194       290.87          2482.04        3107.03         3389.40         3909.41  
    0.200       287.94          2485.64        3108.02         3396.79         3907.30  
    0.206       284.56          2473.00        3109.80         3400.41         3916.39  
    0.213       281.61          2461.46        3124.65         3410.95         3907.00  
    0.219       280.88          2470.79        3140.00         3431.89         3895.90  
    0.225       285.81          2483.06        3154.20         3443.98         3894.19  
    0.231       293.00          2480.67        3170.29         3463.04         3927.73  
    0.238       302.56          2475.43        3167.97         3489.11         3934.46  
    0.244       318.66          2489.46        3181.35         3538.50         3895.24  
    0.250       325.17          2502.84        3245.18         3567.17         3852.69  
    0.256       322.74          2504.18        3316.77         3545.36         3814.21  
    0.263       326.58          2529.86        3366.97         3680.49         3991.37  
    0.269       322.83          2539.43        3381.82         3828.23         4406.41  
    0.275       318.13          2512.44        3337.55         3822.43         4644.16  
    0.281       314.80          2511.60        3338.32         3836.66         4880.60  
    0.288       289.95          2549.93        3403.38         3836.80         5303.14  
    0.294       135.74          1428.63        3039.67         3650.72         4682.07  
    
